timeStamp,humedad,temperatura,sonido
31/01/2023 21:01:05,56,29,49
31/01/2023 21:01:05,56,29,59
31/01/2023 21:01:05,56,29,48
31/01/2023 21:01:06,56,29,50
31/01/2023 21:01:06,56,29,50
31/01/2023 21:01:06,57,29,59
31/01/2023 21:01:07,57,29,46
31/01/2023 21:01:07,57,29,50
31/01/2023 21:01:07,57,29,53
31/01/2023 21:01:07,57,29,49
31/01/2023 21:01:08,57,29,50
31/01/2023 21:01:08,57,29,52
31/01/2023 21:01:08,57,29,49
31/01/2023 21:01:08,57,29,52
31/01/2023 21:01:09,57,29,50
31/01/2023 21:01:09,57,29,52
31/01/2023 21:01:09,57,29,50
31/01/2023 21:01:09,57,29,51
31/01/2023 21:01:10,57,29,50
31/01/2023 21:01:10,57,29,50
31/01/2023 21:01:10,57,29,49
31/01/2023 21:01:10,58,29,49
31/01/2023 21:01:11,58,29,49
31/01/2023 21:01:11,58,29,50
31/01/2023 21:01:11,58,29,49
31/01/2023 21:01:11,58,29,49
31/01/2023 21:01:12,58,29,49
31/01/2023 21:01:12,58,29,50
31/01/2023 21:01:12,58,29,50
31/01/2023 21:01:12,58,29,49
31/01/2023 21:01:13,58,29,49
31/01/2023 21:01:13,58,29,50
31/01/2023 21:01:13,58,29,50
31/01/2023 21:01:13,58,29,50
31/01/2023 21:01:14,58,29,50
31/01/2023 21:01:14,58,29,50
31/01/2023 21:01:14,58,29,50
31/01/2023 21:01:14,57,30,50
31/01/2023 21:01:15,57,30,50
31/01/2023 21:01:15,57,30,50
31/01/2023 21:01:15,57,30,50
31/01/2023 21:01:15,57,30,50
31/01/2023 21:01:16,57,30,50
31/01/2023 21:01:16,57,30,50
31/01/2023 21:01:16,57,30,50
31/01/2023 21:01:16,56,30,50
31/01/2023 21:01:17,56,30,50
31/01/2023 21:01:17,56,30,50
31/01/2023 21:01:17,56,30,50
31/01/2023 21:01:17,56,30,50
31/01/2023 21:01:18,56,30,50
31/01/2023 21:01:18,56,30,50
31/01/2023 21:01:18,56,30,51
31/01/2023 21:01:18,56,30,50
31/01/2023 21:01:19,56,30,50
31/01/2023 21:01:19,56,30,50
31/01/2023 21:01:19,56,30,50
31/01/2023 21:01:19,56,30,51
31/01/2023 21:01:20,56,30,51
31/01/2023 21:01:20,56,30,51
31/01/2023 21:01:20,56,30,51
31/01/2023 21:01:21,55,30,51
31/01/2023 21:01:21,55,30,51
31/01/2023 21:01:21,55,30,51
31/01/2023 21:01:21,55,30,51
31/01/2023 21:01:22,55,30,51
31/01/2023 21:01:22,55,30,51
31/01/2023 21:01:22,55,30,51
31/01/2023 21:01:22,55,30,51
31/01/2023 21:01:23,54,30,51
31/01/2023 21:01:23,54,30,51
31/01/2023 21:01:23,54,30,51
31/01/2023 21:01:23,54,30,52
31/01/2023 21:01:24,54,30,50
31/01/2023 21:01:24,54,30,52
31/01/2023 21:01:24,54,30,51
31/01/2023 21:01:24,54,30,48
31/01/2023 21:01:25,53,29,51
31/01/2023 21:01:25,53,29,54
31/01/2023 21:01:25,53,29,52
31/01/2023 21:01:25,53,29,50
31/01/2023 21:01:26,53,29,51
31/01/2023 21:01:26,53,29,51
31/01/2023 21:01:26,53,29,51
31/01/2023 21:01:26,53,29,52
31/01/2023 21:01:27,53,29,51
31/01/2023 21:01:27,53,29,51
31/01/2023 21:01:27,53,29,50
31/01/2023 21:01:27,53,29,49
31/01/2023 21:01:28,53,29,46
31/01/2023 21:01:28,53,29,13
31/01/2023 21:01:28,53,29,53
31/01/2023 21:01:28,53,29,73
31/01/2023 21:01:29,53,29,44
31/01/2023 21:01:29,53,29,73
31/01/2023 21:01:29,53,29,65
31/01/2023 21:01:29,53,29,49
31/01/2023 21:01:30,53,29,53
31/01/2023 21:01:30,53,29,52
31/01/2023 21:01:30,53,29,54
31/01/2023 21:01:30,53,29,54
31/01/2023 21:01:31,53,29,59
